file	ref	refClade	strain	strainClade	pos	diffs	lengthNotN	pDiff
chr1.mfa	P34048	3	12C	1	100000	438	92144	0.00475342941482896
chr1.mfa	P34048	3	12C	1	200000	213	99905	0.00213202542415295
chr1.mfa	P34048	3	12C	1	300000	38	99993	0.00038002660186213
chr1.mfa	P34048	3	12C	1	400000	78	99969	0.000780241874981244
chr1.mfa	P34048	3	12C	1	500000	111	99412	0.00111656540457892
chr1.mfa	P34048	3	12C	1	600000	280	99877	0.00280344824133684
chr1.mfa	P34048	3	12C	1	700000	95	99959	0.000950389659760502
chr1.mfa	P34048	3	12C	1	800000	155	99931	0.00155107023846454
chr1.mfa	P34048	3	12C	1	900000	196	99676	0.00196637104217665
chr1.mfa	P34048	3	12C	1	1000000	86	99935	0.000860559363586331
chr1.mfa	P34048	3	12C	1	1100000	60	99944	0.000600336188265429
chr1.mfa	P34048	3	12C	1	1200000	2	99982	2.00036006481167e-05
chr1.mfa	P34048	3	12C	1	1300000	218	99702	0.00218651581713506
chr1.mfa	P34048	3	12C	1	1400000	167	99545	0.00167763323120197
chr1.mfa	P34048	3	12C	1	1500000	71	99902	0.000710696482552902
chr1.mfa	P34048	3	12C	1	1600000	32	99929	0.000320227361426613
chr1.mfa	P34048	3	12C	1	1700000	49	98156	0.000499205346591141
chr1.mfa	P34048	3	12C	1	1800000	22	99912	0.000220193770518056
chr1.mfa	P34048	3	12C	1	1900000	54	98369	0.00054895343045065
chr1.mfa	P34048	3	12C	1	2000000	142	99842	0.00142224715049779
chr1.mfa	P34048	3	12C	1	2100000	313	99942	0.00313181645354306
chr1.mfa	P34048	3	12C	1	2200000	253	99962	0.00253096176547088
chr1.mfa	P34048	3	12C	1	2300000	158	99892	0.0015817082449045
chr1.mfa	P34048	3	12C	1	2400000	147	99836	0.00147241476020674
chr1.mfa	P34048	3	12C	1	2500000	101	99952	0.00101048503281575
chr1.mfa	P34048	3	12C	1	2600000	199	99462	0.00200076411091673
chr1.mfa	P34048	3	12C	1	2700000	425	99701	0.00426274560937202
chr1.mfa	P34048	3	12C	1	2800000	245	99202	0.00246970827201065
chr1.mfa	P34048	3	12C	1	2900000	124	99655	0.00124429281019517
chr1.mfa	P34048	3	12C	1	3000000	439	99454	0.00441410099141312
chr1.mfa	P34048	3	12C	1	3100000	182	99980	0.00182036407281456
chr1.mfa	P34048	3	19F	1	100000	433	92666	0.00467269548701789
chr1.mfa	P34048	3	19F	1	200000	200	99907	0.00200186173141021
chr1.mfa	P34048	3	19F	1	300000	38	99993	0.00038002660186213
chr1.mfa	P34048	3	19F	1	400000	51	99969	0.000510158149026198
chr1.mfa	P34048	3	19F	1	500000	80	99386	0.000804942346004467
chr1.mfa	P34048	3	19F	1	600000	294	99876	0.00294365012615643
chr1.mfa	P34048	3	19F	1	700000	93	99957	0.000930400072030973
chr1.mfa	P34048	3	19F	1	800000	148	99933	0.00148099226481743
chr1.mfa	P34048	3	19F	1	900000	194	99712	0.00194560333761232
